review_id,order_id,review_score,review_comment_message,review_text
7d8d252cc0ae002b13db033ec1cd9dcb,0cf8068e7b7318f0e518be23c903b9f2,1,Demora de entrega,Demora de entrega
7a00c1705d83b9e71261b53303c48f2e,571397819bd6b9fb6c481779d2159854,1,"Depois que fiz a compra, passou 30 dias para a loja me informar que não tem mais a mercadoria ","Depois que fiz a compra, passou 30 dias para a loja me informar que não tem mais a mercadoria"
d0e64a92e085b179f0d779aae3e42336,fc8c929edfce9cac492eaf36ee0968b4,1,"ainda não entregaram meu produto, apenas o outros que avia comprado junto, mas o cabo HDMI NÃO foi entregue","ainda não entregaram meu produto, apenas o outros que avia comprado junto, mas o cabo HDMI NÃO foi entregue"
c05b74e77cde703943972816dbb27514,931fdd63ba701dba6def14b3655e0a32,1,"Não estou satisfeita, pois ainda não recebi o produto.","Não estou satisfeita, pois ainda não recebi o produto."
96a96d896a3eefa360ce15e68c29c380,83c72ea1f298ffb69588da1e76ad9bcc,1,Até hoje não recebi meu produto. Vou fazer uma reclamação no Procon e procurar meus direitos.,Até hoje não recebi meu produto. Vou fazer uma reclamação no Procon e procurar meus direitos.
cb52e47f51f3f3019f3d4addf6997994,994486484c66c852cd60fed6ff0da2f9,1,O produto já passou da data de entrega e não consigo saber o que aconteceu. Até agora nada. ,O produto já passou da data de entrega e não consigo saber o que aconteceu. Até agora nada.
534e500c912db8956498899d32729533,0822275bffed889280029c0c32b003e6,1,"Até o momento não recebi o produto , não entraram em contato para falar o q houve","Até o momento não recebi o produto , não entraram em contato para falar o q houve"
7f9f3b385a7b2411985e89b87930e485,75317b0ece497c2c9f9e9ed06889a90b,1,Produto veio faltando duas peças e eu pedi a troca e até agora nada nem resposta,Produto veio faltando duas peças e eu pedi a troca e até agora nada nem resposta
e712c1926494c9c15bc92dc00d942e7a,0e5e60b0cddf73f60eb73fac19f590cf,1,comprei dois produtos há mais de um mês e não recebi nenhum,comprei dois produtos há mais de um mês e não recebi nenhum
2efe057e1432ce1299410b75ee7cc417,d88e0d5fa41661ce03cf6cf336527646,1,"Solicitei informações acerca da entrega de meu produto e fui informado que o recebeu dentro do prazo avençado, contudo hoje (19/12/2017) ainda não o recebi.","Solicitei informações acerca da entrega de meu produto e fui informado que o recebeu dentro do prazo avençado, contudo hoje (19/12/2017) ainda não o recebi."
9908112e811055655769a899b87b18a8,51d4a0d3885b80caea38806587b8fd0d,1,"Comprei dois produtos em um só número de pedido, só recebi o forro do sofá mas a cortina não chegou. Só que consta que recebi os dois, só queria saber como é que vai ficar. Tô chateada!","Comprei dois produtos em um só número de pedido, só recebi o forro do sofá mas a cortina não chegou. Só que consta que recebi os dois, só queria saber como é que vai ficar. Tô chateada!"
